date,residuals,fitted_values,actual_inflation
2011-07-01,1.197131768673656,2.3827492083259605,3.5798809769996165
2011-10-01,1.425613529311701,2.0966546013523515,3.5222681306640524
2012-01-01,0.622433734885282,2.3863326031002203,3.0087663379855023
2012-04-01,0.032021236601477376,2.2411421375333793,2.2731633741348567
2012-07-01,-0.48614584553376394,1.9036573253802422,1.4175114798464783
2012-10-01,-0.011572472772653164,2.1672505323095894,2.1556780595369363
2013-01-01,-0.7616723203469999,2.445734082445299,1.684061762098299
2013-04-01,-1.069808854602666,2.208616902179533,1.138808047576867
2013-07-01,-0.39406732939393185,2.279539134809738,1.885471805415806
2013-10-01,-1.2562040837865025,2.1330032272776496,0.8767991434911471
2014-01-01,-0.8884258703119152,2.4461846658868303,1.557758795574915
2014-04-01,-0.6935936894246844,2.7087189930308533,2.015125303606169
2014-07-01,-0.8958595871095474,2.8700974574401448,1.9742378703305974
2014-10-01,-0.714487392394461,2.32402909454579,1.6095417021513292
2015-01-01,-1.8815312755477418,1.6516002973423136,-0.22993097820542818
2015-04-01,-1.9927944917763671,1.8887635023824565,-0.10403098939391064
2015-07-01,-2.041777979794757,2.267464090835703,0.22568611104094582
2015-10-01,-2.0183814774903284,2.1459980381608355,0.12761656067050708
2016-01-01,-0.6203950518605925,1.85789755455498,1.2375025026943876
2016-04-01,-1.1047208051399608,2.277346555493445,1.1726257503534843
2016-07-01,-1.313218320921845,2.1815816639736707,0.8683633430518256
2016-10-01,0.034500495775090734,1.6514244704685552,1.685924966243646
2017-01-01,0.4793471546653607,2.031046193591751,2.5103933482571117
2017-04-01,0.24031224280100183,1.9359112291143932,2.176223471915395
2017-07-01,-0.3988704874002682,2.1239778380568755,1.7251073506566073
2017-10-01,0.20871896909563858,1.8120387840368464,2.020757753132485
2018-01-01,-0.20806163428642455,2.3593805023503696,2.151318868063945
2018-04-01,0.11481371421476405,2.3561825878905354,2.4709963021052994
2018-07-01,0.11684365812167341,2.7372811274402555,2.854124785561929
2018-10-01,-0.24255122321816325,2.734583693436216,2.492032470218053
2019-01-01,-0.8604920045848865,2.3480813624140198,1.4875893578291333
2019-04-01,-0.08757379023875433,2.088157260447815,2.000583470209061
2019-07-01,-0.426556545371374,2.252887880408442,1.826331335037068
2019-10-01,-0.3756067840410551,2.1095804836596845,1.7339736996186295
2020-01-01,0.49183896029807084,2.107929016547131,2.599767976845202
2020-04-01,1.7039001585224085,-1.3908528644812952,0.3130472940411133
2020-07-01,-0.2741139716931018,1.2709787342829015,0.9968647625897997
2020-10-01,-0.20624956272101969,1.436635905588182,1.2303863428671624
2021-01-01,-0.874382604981446,2.229702583216061,1.3553199782346148
2021-04-01,1.166212056951756,2.9711613963665933,4.137373453318349
2021-07-01,-0.045356108717776955,5.314523755958746,5.269167647240969
2021-10-01,0.5191200141570116,5.7074712066144375,6.226591220771449
2022-01-01,1.5786825303434595,5.9993999326570755,7.578082463000535
2022-04-01,1.3273094620286159,6.907852281993886,8.235161744022502
2022-07-01,1.8239752293198217,6.623802977434731,8.447778206754553
2022-10-01,1.4933264238236976,6.263935046985765,7.757261470809462
2023-01-01,1.8864919517222143,4.453804358206947,6.340296309929161
2023-04-01,-0.8649321334129025,5.811879621475228,4.946947488062325
2023-07-01,-0.33722141529593586,3.6175496176421857,3.28032820234625
2023-10-01,-1.6025526420234364,4.849090149700153,3.2465375076767167
